Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
SFALCI,22/05/2021,07:00 AM,22/05/2021,07:10 AM,TRUE,SFALCI
ORG,25/05/2021,07:00 AM,25/05/2021,07:10 AM,TRUE,ORG
ORG - LAV,28/05/2021,07:00 AM,28/05/2021,07:10 AM,TRUE,ORG - LAV
SFALCI,29/05/2021,07:00 AM,29/05/2021,07:10 AM,TRUE,SFALCI
ORG,01/06/2021,07:00 AM,01/06/2021,07:10 AM,TRUE,ORG
PLASTICA - VETRO,03/06/2021,07:00 AM,03/06/2021,07:10 AM,TRUE,PLASTICA - VETRO
NON REC - ORG - CARTA,04/06/2021,07:00 AM,04/06/2021,07:10 AM,TRUE,NON REC - ORG - CARTA
SFALCI,05/06/2021,07:00 AM,05/06/2021,07:10 AM,TRUE,SFALCI
ORG,08/06/2021,07:00 AM,08/06/2021,07:10 AM,TRUE,ORG
ORG,11/06/2021,07:00 AM,11/06/2021,07:10 AM,TRUE,ORG
SFALCI,12/06/2021,07:00 AM,12/06/2021,07:10 AM,TRUE,SFALCI
ORG,15/06/2021,07:00 AM,15/06/2021,07:10 AM,TRUE,ORG
PLASTICA,16/06/2021,07:00 AM,16/06/2021,07:10 AM,TRUE,PLASTICA
NON REC - ORG - CARTA,18/06/2021,07:00 AM,18/06/2021,07:10 AM,TRUE,NON REC - ORG - CARTA
SFALCI,19/06/2021,07:00 AM,19/06/2021,07:10 AM,TRUE,SFALCI
ORG,22/06/2021,07:00 AM,22/06/2021,07:10 AM,TRUE,ORG
ORG,25/06/2021,07:00 AM,25/06/2021,07:10 AM,TRUE,ORG
ORG,29/06/2021,07:00 AM,29/06/2021,07:10 AM,TRUE,ORG
PLASTICA,30/06/2021,07:00 AM,30/06/2021,07:10 AM,TRUE,PLASTICA
VETRO,01/07/2021,07:00 AM,01/07/2021,07:10 AM,TRUE,VETRO
NON REC - ORG - CARTA,02/07/2021,07:00 AM,02/07/2021,07:10 AM,TRUE,NON REC - ORG - CARTA
SFALCI,03/07/2021,07:00 AM,03/07/2021,07:10 AM,TRUE,SFALCI
ORG,06/07/2021,07:00 AM,06/07/2021,07:10 AM,TRUE,ORG
ORG - LAV,09/07/2021,07:00 AM,09/07/2021,07:10 AM,TRUE,ORG - LAV
SFALCI,10/07/2021,07:00 AM,10/07/2021,07:10 AM,TRUE,SFALCI
ORG,13/07/2021,07:00 AM,13/07/2021,07:10 AM,TRUE,ORG
PLASTICA,14/07/2021,07:00 AM,14/07/2021,07:10 AM,TRUE,PLASTICA
NON REC - ORG - CARTA,16/07/2021,07:00 AM,16/07/2021,07:10 AM,TRUE,NON REC - ORG - CARTA
